Crop,State,Season,Area,Cost_of_Cultivation,Cost_of_Production,Annual_Rainfall,Temperature,Yield,Production
Soybean,Maharashtra,Kharif,183.84,57883.01,45094.05,1057.92,17.5,1291.99,237.52
Sunflower,Madhya Pradesh,Zaid,21.07,68345.04,58075.02,660.98,19.55,1049.45,22.11
Cotton,Punjab,Rabi,524.99,38756.98,26640.34,1340.15,18.49,1001.7,525.88
Maize,Andhra Pradesh,Kharif,46.93,48414.97,31525.76,410.59,38.72,1826.0,85.69
Wheat,Rajasthan,Kharif,16.46,27699.16,18622.36,1461.55,30.25,3661.24,60.26
Rice,Maharashtra,Rabi,662.69,32144.11,24301.6,1229.41,19.62,2833.04,1877.43
Wheat,Rajasthan,Rabi,395.45,65966.24,53972.36,855.12,29.26,3570.61,1412.0
Cotton,Haryana,Zaid,828.82,34621.43,23690.76,1222.58,18.52,993.19,823.18
Rice,Gujarat,Zaid,423.69,36718.48,25264.02,323.94,19.97,2493.26,1056.37
Cotton,Rajasthan,Zaid,651.25,65322.78,55851.73,1064.07,17.39,881.89,574.33
Soybean,Andhra Pradesh,Rabi,325.52,55128.34,43621.25,1808.26,26.81,1933.65,629.44
Rice,Karnataka,Rabi,236.37,29083.76,17803.04,1508.13,17.77,2753.97,650.96
Maize,Andhra Pradesh,Kharif,314.7,42971.39,37482.65,723.8,25.26,2118.11,666.57
Soybean,Uttar Pradesh,Rabi,880.53,49339.47,33979.6,479.34,26.41,1322.8,1164.77
Sugarcane,Rajasthan,Zaid,896.14,32490.19,20566.8,687.49,25.68,67203.55,60223.79
Soybean,Tamil Nadu,Zaid,417.7,27215.93,17308.23,873.95,38.57,1511.26,631.25
Groundnut,Madhya Pradesh,Kharif,404.13,18569.07,12555.93,719.69,32.41,1431.71,578.6
Sunflower,Punjab,Zaid,609.76,42647.35,26247.04,773.7,37.71,1242.72,757.76
Maize,Haryana,Kharif,489.71,69210.77,46552.31,1442.63,34.04,2741.1,1342.34
Sunflower,Karnataka,Rabi,633.71,44467.61,27885.06,1720.01,23.02,1589.22,1007.1
Groundnut,Uttar Pradesh,Zaid,220.63,54113.22,45609.34,892.73,17.4,1520.92,335.56
Soybean,Haryana,Kharif,675.85,55436.89,36739.22,1220.46,32.39,1667.23,1126.8
Soybean,Rajasthan,Kharif,516.88,29345.6,26378.06,1941.21,28.96,1995.75,1031.56
Barley,Uttar Pradesh,Zaid,726.09,64341.06,55727.46,1625.79,31.05,3127.56,2270.89
Rice,Madhya Pradesh,Rabi,669.15,46937.76,33404.89,1898.23,39.34,2838.46,1899.36
